file: test5,ent
0,004;
0,004;
0,004;
0,004;
0,003;
file: gen_100,ent
5,670;
5,797;
5,543;
5,471;
5,504;
file: example,ent
0,036;
0,036;
0,037;
0,037;
0,037;
file: gen_200,ent
47,375;
40,745;
32,785;
32,384;
35,046;
file: gen_300,ent
103,059;
95,964;
98,289;
111,027;
98,393;
file: gen_400,ent
284,224;
264,703;
262,102;
258,382;
263,620;
file: gen_500,ent
419,130;
408,507;
422,204;
419,800;
420,123;
file: gen_600,ent
768,246;
821,911;
784,699;
782,071;
790,691;
file: gen_700,ent
1309,629;
1286,585;
1308,790;
1295,555;
1285,188;
file: gen_800,ent
1943,089;
1945,029;
1939,246;
1962,468;
1934,469;
file: gen_900,ent
2606,018;
2592,962;
2586,280;
2585,743;
2586,863;
file: gen_1000,ent
3474,147;
3474,047;
3466,519;
3464,693;
3460,825;
